"Simulation_ID","Scenario","Model_Name","RMSE","NRMSE","MAPE","R_Squared","CPU_Time_sec","Nugget_Used"
1,"Train with 3 Stages","aLadder",10.308709524257,0.158347726611714,9.14882680521226,0.654845576728434,4.03999999999996,1e-06
1,"Train with 3 Stages","mLadder-Ordinal",25.7406273637795,0.395390889133386,21.058234734939,-1.15200409661184,3.17000000000007,1e-06
1,"Train with 3 Stages","mLadder-Nominal",16.2718533899976,0.249945057235566,13.9446813819648,0.140038747007229,3.10999999999967,1e-06
1,"Train with 3 Stages","SAL-GP",7.39376949516204,0.113572565789639,5.96528673640596,0.822443468443315,3.71999999999935,1e-06
1,"Train with 4 Stages","aLadder",17.2762520958614,0.265373200914563,18.05633749274,0.0305980165632298,8.21000000000004,1e-06
1,"Train with 4 Stages","mLadder-Ordinal",17.6845967586828,0.271645610558043,16.7134732600803,-0.0157694845509744,5.95000000000073,1e-06
1,"Train with 4 Stages","mLadder-Nominal",19.3930313606307,0.297888151842836,18.2208734172382,-0.221507782082879,5.90999999999985,1e-06
1,"Train with 4 Stages","SAL-GP",8.02046957350281,0.123199040610676,7.49594607486805,0.791068255788169,8.78000000000065,1e-06
1,"Train with 5 Stages","aLadder",25.8715887192467,0.397402531120524,26.8482846791421,-1.17395743172781,14.5799999999999,1e-06
1,"Train with 5 Stages","mLadder-Ordinal",17.8862926545168,0.274743775900377,16.9210497118415,-0.0390716683879335,10.0500000000002,1e-06
1,"Train with 5 Stages","mLadder-Nominal",23.251367220886,0.357154416988658,21.8620292385483,-0.755908289616252,9.89999999999964,1e-06
1,"Train with 5 Stages","SAL-GP",10.308650534016,0.158346820487575,9.48180328699503,0.654849526919152,17.71,1e-06
2,"Train with 3 Stages","aLadder",12.9571979585472,0.158204568709166,10.9857878132636,0.357684604236533,4,1e-06
2,"Train with 3 Stages","mLadder-Ordinal",14.8981493966307,0.181903163585143,13.8262981970773,0.150837525375259,3.15999999999985,1e-06
2,"Train with 3 Stages","mLadder-Nominal",13.7181872698321,0.167496082674552,12.809781969854,0.280021382839257,3.10000000000036,1e-06
2,"Train with 3 Stages","SAL-GP",9.82300871129325,0.119936799728479,9.05206375025691,0.630839519699053,3.67999999999938,1e-06
2,"Train with 4 Stages","aLadder",33.0766892137612,0.403859180675583,34.625826732649,-3.18572034794319,8.23000000000047,1e-06
2,"Train with 4 Stages","mLadder-Ordinal",16.7639067385791,0.204683654903035,15.2525297461998,-0.0751687082188608,5.9399999999996,1e-06
2,"Train with 4 Stages","mLadder-Nominal",15.4755484545521,0.188953080490308,14.4304212307884,0.0837410227542391,6,1e-06
2,"Train with 4 Stages","SAL-GP",12.0220997784099,0.14678722332611,11.4592805466206,0.447048805974738,8.75,1e-06
2,"Train with 5 Stages","aLadder",15.925387727107,0.194445520162116,16.4222142546299,0.0296996828490566,14.5799999999999,1e-06
2,"Train with 5 Stages","mLadder-Ordinal",20.0847687885672,0.245230658201263,18.4030852671385,-0.543333620713617,10.1600000000008,1e-06
2,"Train with 5 Stages","mLadder-Nominal",18.3824008702074,0.224445116205991,16.9332932600309,-0.292797814613174,10.1399999999994,1e-06
2,"Train with 5 Stages","SAL-GP",10.5328673836516,0.128604019714172,9.8561429823816,0.575556999261116,17.7399999999998,1e-06
3,"Train with 3 Stages","aLadder",13.6216229515527,0.21999974035264,12.1455113742957,0.391397258531178,4,1e-06
3,"Train with 3 Stages","mLadder-Ordinal",15.4938690633472,0.250237962327803,14.8986330467311,0.212599007777647,3.21999999999935,1e-06
3,"Train with 3 Stages","mLadder-Nominal",13.5899894628505,0.219488835057016,12.8605976231744,0.394220692022879,3.15999999999985,1e-06
3,"Train with 3 Stages","SAL-GP",5.9112241659609,0.0954708397305485,5.02997013956943,0.885387746210064,3.97999999999956,1e-06
3,"Train with 4 Stages","aLadder",7.75083248299407,0.125181936090892,7.15759356624124,0.802951607575973,8.45000000000073,1e-06
3,"Train with 4 Stages","mLadder-Ordinal",17.5443148595885,0.283354246957369,16.9758842729944,-0.00959925260183225,5.97999999999956,1e-06
3,"Train with 4 Stages","mLadder-Nominal",15.4654537531751,0.249779033103132,14.1434120620565,0.215484500932782,5.98999999999978,1e-06
3,"Train with 4 Stages","SAL-GP",8.17237232265114,0.131990130356927,7.6592166082681,0.780935258533175,8.63999999999942,1e-06
3,"Train with 5 Stages","aLadder",11.3782399910618,0.183767371377599,11.1414785708886,0.575354648630344,14.5099999999993,1e-06
3,"Train with 5 Stages","mLadder-Ordinal",18.5692644505576,0.299907975150384,17.2089912298168,-0.13100779240622,10,1e-06
