"Scenario","Model_Name","RMSE_Mean","RMSE_SD","NRMSE_Mean","NRMSE_SD","MAPE_Mean","MAPE_SD","R_Squared_Mean","R_Squared_SD","CPU_Time_sec_Mean","CPU_Time_sec_SD","Total_Successes"
"Back-Heavy (15:15:60)","SAL-GP",5.89143129255494,0.648425454217064,0.0646609089530716,0.00743657773447303,8.84985872626646,1.36676588085077,0.950887921201679,0.00982993062036196,12.905,0.183983694929765,10
"Back-Heavy (15:15:60)","aLadder",5.51254125053846,0.613030552382158,0.0605176595276198,0.00714327249682477,7.86301439516567,1.07086151887288,0.956982259766802,0.00885565236949571,11.162,0.165448884352088,10
"Back-Heavy (15:15:60)","mLadder-Nominal",9.35723467323248,2.54617970242081,0.103056450756067,0.0297829778080738,12.6693454810759,4.32159048704401,0.869207036440339,0.0720471647040963,7.95400000000002,0.19928762017639,10
"Back-Heavy (15:15:60)","mLadder-Ordinal",10.3915273130299,2.55515015851805,0.114373653151762,0.0299938078427805,13.8253397882891,4.22513998709287,0.840417319314788,0.0760611110730236,8.03600000000004,0.205599394724538,10
"Balanced (30:30:30)","SAL-GP",5.52744979053311,0.905773255595382,0.0605858523662071,0.00937790171485249,8.04626732398476,2.12393930269867,0.956192540090892,0.0141842191688209,8.91900000000001,0.175147556839021,10
"Balanced (30:30:30)","aLadder",5.76912634167631,1.05804058223712,0.0632001501825784,0.0108980014758064,7.85398067554942,2.05892936709228,0.952024373487872,0.0174814466933709,9.828,0.134395767129076,10
"Balanced (30:30:30)","mLadder-Nominal",9.61797223445397,1.39023763013359,0.10542951971063,0.014490173939409,12.3716174126919,2.84173056462895,0.86831237519055,0.0347063441791358,7.59900000000007,0.201132902441225,10
"Balanced (30:30:30)","mLadder-Ordinal",9.96609247336189,1.84820954052859,0.109494851873003,0.0213819476549335,12.8393832596774,2.92786212978761,0.85706017622962,0.04903313794043,8.07900000000002,0.239464680763924,10
"Front-Heavy (60:15:15)","SAL-GP",5.89032801256708,0.971034871468437,0.0645915911368954,0.0103630228092714,5.44689164215471,0.932086895381705,0.950228461610694,0.0161548234364095,6.74299999999992,0.0788881064124743,10
"Front-Heavy (60:15:15)","aLadder",10.2632277854877,4.71264936372748,0.112514297637673,0.0522189530413874,15.723640634447,10.7888178301284,0.823841627922485,0.170911669588278,8.79499999999991,0.220214541855073,10
"Front-Heavy (60:15:15)","mLadder-Nominal",9.37316596039488,1.59311538255639,0.102841155872504,0.0172970172980132,9.05560008403555,1.92266682471472,0.873729660131559,0.0395613013205759,7.65099999999998,0.38794186276931,10
"Front-Heavy (60:15:15)","mLadder-Ordinal",10.0721879116161,3.12880441063664,0.110340306112123,0.0329781940495968,9.47077388415435,3.32254226207247,0.846630347826467,0.0987943372387042,7.7170000000001,0.339936268536695,10
