"Simulation_ID","Scenario","Model_Name","RMSE","NRMSE","MAPE","R_Squared","CPU_Time_sec"
1,"Balanced (30:30:30)","aLadder",5.44095829348809,0.0563219683282888,6.25496126977233,0.9588374183414,10.01
1,"Balanced (30:30:30)","mLadder-Ordinal",8.50095384981911,0.0879974496519828,11.199080939849,0.899518264298223,8.31999999999994
1,"Balanced (30:30:30)","mLadder-Nominal",10.2214970207348,0.105807617043955,12.3447343635955,0.854728365081457,7.63999999999987
1,"Balanced (30:30:30)","SAL-GP",5.47062209543838,0.0566290325665757,6.42996740936649,0.958387362626398,9
1,"Front-Heavy (60:15:15)","aLadder",6.95260627642134,0.0719697614606466,12.750791765621,0.932787958989322,8.77999999999997
1,"Front-Heavy (60:15:15)","mLadder-Ordinal",6.86293266488267,0.0710415069075821,5.10017536335488,0.934510558437457,8.13999999999987
1,"Front-Heavy (60:15:15)","mLadder-Nominal",7.41369818180334,0.0767427448746963,6.5907938957913,0.923577434205032,7.63999999999987
1,"Front-Heavy (60:15:15)","SAL-GP",4.88777403613604,0.0505956928191419,3.93060836573343,0.96678195633915,6.77999999999997
1,"Back-Heavy (15:15:60)","aLadder",5.76994508882975,0.0597274684016554,9.80786424891546,0.95370914827504,11.29
1,"Back-Heavy (15:15:60)","mLadder-Ordinal",9.43067120364572,0.0976213997967861,11.7686847855475,0.876337785714715,8.1400000000001
1,"Back-Heavy (15:15:60)","mLadder-Nominal",7.25771361812658,0.0751280738588169,9.9914387569675,0.926759472053317,8.27999999999997
1,"Back-Heavy (15:15:60)","SAL-GP",6.41059023763806,0.0663590935372566,10.7778648010341,0.942858998606197,13.04
2,"Balanced (30:30:30)","aLadder",7.90269601647715,0.0843679558721029,12.667982943792,0.916103345851659,9.78999999999996
2,"Balanced (30:30:30)","mLadder-Ordinal",11.5177619992105,0.122961839107656,18.8100639902066,0.821790731352635,8.14000000000033
2,"Balanced (30:30:30)","mLadder-Nominal",11.8355258802214,0.126354236972255,18.9033726778344,0.811821844844396,7.59000000000015
2,"Balanced (30:30:30)","SAL-GP",7.54872781935901,0.0805890463490331,13.0561276815661,0.923450630016303,8.94999999999982
2,"Front-Heavy (60:15:15)","aLadder",12.9500617039504,0.138252848407921,21.1829546980854,0.774712153771824,8.88999999999987
2,"Front-Heavy (60:15:15)","mLadder-Ordinal",17.3086131312541,0.184784066832412,17.1525720431958,0.597543793085033,7.49000000000024
2,"Front-Heavy (60:15:15)","mLadder-Nominal",11.135570841378,0.118881625637279,11.8248003344206,0.833421457468732,7.48000000000002
2,"Front-Heavy (60:15:15)","SAL-GP",6.83147183320224,0.0729317327863066,6.40522781559422,0.937306480393914,6.76999999999998
2,"Back-Heavy (15:15:60)","aLadder",6.52186783579379,0.0696264485723218,8.99719394703528,0.942860284322479,11.23
2,"Back-Heavy (15:15:60)","mLadder-Ordinal",8.80873082725902,0.094040642860854,12.6685061937166,0.895763273012272,8.42000000000007
2,"Back-Heavy (15:15:60)","mLadder-Nominal",7.2391062911723,0.0772835749791811,11.4066735840202,0.929601404549714,8.20000000000027
2,"Back-Heavy (15:15:60)","SAL-GP",6.73135273644481,0.0718628768516263,9.61691985633417,0.939130632945089,12.9299999999998
3,"Balanced (30:30:30)","aLadder",7.06025973086596,0.0776434315001101,7.56341307880364,0.931274418180511,9.67000000000007
3,"Balanced (30:30:30)","mLadder-Ordinal",12.6803259548359,0.139448696960702,15.316135716928,0.778314185400472,7.88999999999987
3,"Balanced (30:30:30)","mLadder-Nominal",10.6959111338711,0.117625593832386,12.9532819814575,0.842270603719149,7.34000000000015
3,"Balanced (30:30:30)","SAL-GP",5.88850621154032,0.0647573667403347,7.67016065412377,0.952193456547803,8.88999999999987
3,"Front-Heavy (60:15:15)","aLadder",9.25806578496122,0.101813251070012,8.32252502057337,0.881827181479756,8.67000000000007
3,"Front-Heavy (60:15:15)","mLadder-Ordinal",11.8924200968144,0.130783900360035,10.2689065050209,0.805007658946322,7.26000000000022
3,"Front-Heavy (60:15:15)","mLadder-Nominal",11.3238250028566,0.124530918754273,10.8055100542427,0.823207691185723,7.27999999999975
3,"Front-Heavy (60:15:15)","SAL-GP",7.78100165911261,0.0855696096675262,7.15952137659838,0.916526603538586,6.6899999999996
3,"Back-Heavy (15:15:60)","aLadder",5.15703163463907,0.0567131589674377,7.82026114246166,0.963332891801174,11.1900000000001
3,"Back-Heavy (15:15:60)","mLadder-Ordinal",10.0819640130003,0.110873864711767,11.9780775572745,0.859858308553036,7.94000000000005
3,"Back-Heavy (15:15:60)","mLadder-Nominal",9.73224870415092,0.107027958518191,12.6721878706024,0.86941194111865,7.92000000000007
3,"Back-Heavy (15:15:60)","SAL-GP",5.25786107525787,0.0578220053929671,8.4304609278148,0.96188505628035,12.8899999999999
4,"Balanced (30:30:30)","aLadder",6.14537106857419,0.0676175488668747,9.66049018968034,0.945850216113018,9.8100000000004
4,"Balanced (30:30:30)","mLadder-Ordinal",9.09563261322883,0.100079291524838,13.9369002508827,0.881377704188594,8.13000000000011
4,"Balanced (30:30:30)","mLadder-Nominal",8.14849193462251,0.0896578978604309,12.6198549242914,0.904796046241036,7.5
4,"Balanced (30:30:30)","SAL-GP",5.75948984988835,0.0633716958711576,9.58090801945008,0.952437076708928,8.90999999999985
4,"Front-Heavy (60:15:15)","aLadder",6.10025712119744,0.0671211598763181,4.79534145380426,0.94664233870932,8.7800000000002
4,"Front-Heavy (60:15:15)","mLadder-Ordinal",6.20687644861973,0.0682942928737699,6.06384398067821,0.944760885780846,8.16000000000031
4,"Front-Heavy (60:15:15)","mLadder-Nominal",6.77527309835475,0.0745483640779914,6.66490267307252,0.934180570197523,8.46000000000004
4,"Front-Heavy (60:15:15)","SAL-GP",5.93133902126122,0.0652625531706393,5.84697540343413,0.949556408428903,6.75999999999976
4,"Back-Heavy (15:15:60)","aLadder",4.73529705577148,0.052102497391111,6.58211608459893,0.967848964748597,11.0799999999999
4,"Back-Heavy (15:15:60)","mLadder-Ordinal",6.08688068509118,0.0669739788823657,8.20031768603502,0.946876083879592,7.86000000000013
4,"Back-Heavy (15:15:60)","mLadder-Nominal",7.28081708700346,0.0801108671352299,9.15118030439369,0.923991747841847,8.05999999999995
4,"Back-Heavy (15:15:60)","SAL-GP",5.17796888823833,0.0569732177967319,7.06416197098182,0.96155681354692,13.1300000000001
5,"Balanced (30:30:30)","aLadder",6.1590007805151,0.0661284174590754,7.92708237272162,0.946284490915124,9.96000000000004
5,"Balanced (30:30:30)","mLadder-Ordinal",9.28297362470793,0.0996701213382429,11.9042466965477,0.877973709055586,7.97000000000025
5,"Balanced (30:30:30)","mLadder-Nominal",9.98027661246823,0.107156975896851,12.1034115907153,0.858952843748439,7.63000000000011
5,"Balanced (30:30:30)","SAL-GP",5.68341863109839,0.0610221516809953,7.7356366945321,0.954259756624206,9.32000000000016
